match_id,win,blue_dragons,blue_heralds,blue_towers,blue_kills,blue_firstBlood,blue_voidgrubs,red_dragons,red_heralds,red_towers,red_kills,red_voidgrubs,blue_top_gold,blue_top_cs,blue_top_kills,blue_top_deaths,blue_top_champion,blue_top_tag,red_top_gold,red_top_cs,red_top_kills,red_top_deaths,red_top_champion,red_top_tag,top_gold_diff,blue_jungle_gold,blue_jungle_cs,blue_jungle_kills,blue_jungle_deaths,blue_jungle_champion,blue_jungle_tag,red_jungle_gold,red_jungle_cs,red_jungle_kills,red_jungle_deaths,red_jungle_champion,red_jungle_tag,jungle_gold_diff,blue_middle_gold,blue_middle_cs,blue_middle_kills,blue_middle_deaths,blue_middle_champion,blue_middle_tag,red_middle_gold,red_middle_cs,red_middle_kills,red_middle_deaths,red_middle_champion,red_middle_tag,middle_gold_diff,blue_bottom_gold,blue_bottom_cs,blue_bottom_kills,blue_bottom_deaths,blue_bottom_champion,blue_bottom_tag,red_bottom_gold,red_bottom_cs,red_bottom_kills,red_bottom_deaths,red_bottom_champion,red_bottom_tag,bottom_gold_diff,blue_utility_gold,blue_utility_cs,blue_utility_kills,blue_utility_deaths,blue_utility_champion,blue_utility_tag,red_utility_gold,red_utility_cs,red_utility_kills,red_utility_deaths,red_utility_champion,red_utility_tag,utility_gold_diff,blue_comp,red_comp
KR_8221465360,1,1,0,2,21,0,2,0,0,3,9,1,4715,69,2,3,Malphite,Tank,6155,129,0,5,Jayce,Fighter,-1440,6998,127,3,2,Ekko,Assassin,6999,102,5,3,Sylas,Mage,-1,7465,90,10,2,XinZhao,Fighter,4759,93,1,4,Vladimir,Mage,2706,8835,159,6,2,Zeri,Marksman,6554,126,1,4,Kaisa,Marksman,2281,5110,20,0,0,Lulu,Support,4855,12,2,5,Bard,Support,255,혼합조합,혼합조합
KR_8227148077,1,1,0,1,16,1,3,1,0,1,17,0,5899,98,4,4,Ambessa,Unknown,4475,73,2,5,Zaahen,Unknown,1424,8623,156,3,3,Karthus,Mage,6707,69,7,4,LeeSin,Fighter,1916,7654,122,7,2,Pantheon,Fighter,6713,128,3,4,Akali,Assassin,941,6065,112,2,5,Ezreal,Marksman,7051,132,4,1,Varus,Marksman,-986,4052,23,0,3,Bard,Support,4473,20,1,2,Nautilus,Tank,-421,혼합조합,혼합조합
KR_8188523650,1,1,0,0,8,0,0,0,0,0,9,3,5655,102,4,2,Shen,Tank,4902,101,0,5,Renekton,Fighter,753,5751,106,3,4,Ambessa,Unknown,6680,94,5,0,Evelynn,Assassin,-929,5495,131,1,1,Orianna,Mage,5044,114,1,3,Naafiri,Assassin,451,4950,109,0,1,Jhin,Marksman,6648,151,2,0,Lucian,Marksman,-1698,3520,20,0,1,Lulu,Support,3850,24,1,0,Yuumi,Support,-330,혼합조합,암살자조합
KR_8215832659,0,0,0,0,3,0,1,1,0,0,15,2,4917,116,1,2,Rumble,Fighter,5215,125,1,1,Yone,Assassin,-298,5542,77,2,7,Khazix,Assassin,7471,107,8,0,RekSai,Fighter,-1929,5029,119,0,2,Malzahar,Mage,6115,117,3,1,Galio,Tank,-1086,5459,126,0,2,Ezreal,Marksman,6131,113,3,1,Varus,Marksman,-672,3572,25,0,2,Velkoz,Mage,3937,15,0,0,Soraka,Support,-365,혼합조합,혼합조합
KR_8225121611,0,0,0,1,6,0,1,2,0,0,15,2,5510,132,1,7,Jayce,Fighter,6671,95,6,2,Pantheon,Fighter,-1161,6343,109,3,3,Viego,Assassin,7074,116,6,0,LeeSin,Fighter,-731,5226,127,1,2,Orianna,Mage,5661,112,2,3,Galio,Tank,-435,5353,130,0,0,Jinx,Marksman,6298,146,1,1,Aphelios,Marksman,-945,3891,9,1,3,TahmKench,Support,3866,20,0,0,Karma,Mage,25,혼합조합,혼합조합
KR_8179578018,0,0,0,0,6,0,1,1,0,0,12,2,4558,105,1,3,Ambessa,Unknown,6037,140,2,1,Aatrox,Fighter,-1479,5195,88,1,2,Rammus,Tank,6580,96,7,2,MasterYi,Assassin,-1385,6853,139,3,1,Ekko,Assassin,5411,147,0,1,Ryze,Mage,1442,5828,132,1,3,Jhin,Marksman,6831,141,2,1,Ezreal,Marksman,-1003,4020,28,0,3,Karma,Mage,4151,14,1,1,Yuumi,Support,-131,혼합조합,혼합조합
KR_8225088728,1,1,0,1,20,0,3,1,0,1,21,0,6104,115,2,2,Yone,Assassin,5192,98,2,9,Illaoi,Fighter,912,8913,115,13,1,Evelynn,Assassin,5777,81,4,4,JarvanIV,Tank,3136,5855,113,2,3,Katarina,Assassin,5593,109,5,2,Zoe,Mage,262,6027,95,3,6,Kaisa,Marksman,8496,137,7,3,Ezreal,Marksman,-2469,4552,32,0,9,Brand,Mage,5788,18,3,2,Senna,Marksman,-1236,암살자조합,하이퍼캐리
KR_8154101931,0,0,0,0,9,0,3,2,0,1,10,0,5265,133,0,0,Udyr,Fighter,5574,135,2,1,Malphite,Tank,-309,5986,113,2,1,Elise,Mage,7116,126,6,0,RekSai,Fighter,-1130,5684,117,1,2,Zed,Assassin,5230,126,0,2,Viktor,Mage,454,6825,125,3,3,Ashe,Marksman,4869,86,2,4,Ezreal,Marksman,1956,5344,9,3,4,Pantheon,Fighter,3792,14,0,2,Alistar,Tank,1552,혼합조합,혼합조합
KR_8224802131,0,0,0,1,3,0,0,2,0,0,12,3,4634,114,0,2,Kled,Fighter,5845,142,1,0,Rumble,Fighter,-1211,5575,80,2,1,Vi,Fighter,8013,140,3,0,Khazix,Assassin,-2438,4164,85,0,6,Viktor,Mage,7254,137,7,1,Yone,Assassin,-3090,6270,141,1,1,Ezreal,Marksman,5819,131,0,1,Xayah,Marksman,451,3537,18,0,2,Rakan,Support,3986,18,1,1,Poppy,Tank,-449,혼합조합,암살자조합
KR_8180269283,1,0,0,1,16,0,3,2,0,2,10,0,6679,92,3,1,Jax,Fighter,4981,113,1,3,Riven,Fighter,1698,8157,118,8,1,FiddleSticks,Unknown,5316,89,3,3,Nocturne,Assassin,2841,6166,131,4,2,Lux,Mage,4260,93,0,6,Yone,Assassin,1906,5438,104,1,4,Sivir,Marksman,7588,141,5,2,Smolder,Marksman,-2150,4040,20,0,2,Blitzcrank,Tank,5268,21,1,2,Senna,Marksman,-1228,혼합조합,암살자조합
